k,t_k,a_k,b_k,wall_thickness,e2_exact,e2_asymptotic_2param,e2_asymptotic_3param,error_2param,error_3param,L_base,L_exact,pi_a_b
1,14.134725,2.249611,2.157745,0.0918667263,0.0800057830,0.0800057830,0.0797686003,1.11e-16,2.37e-04,13.846117,13.847621,13.846117
2,21.022040,3.345762,3.253895,0.0918667263,0.0541613634,0.0541613634,0.0540892659,1.53e-16,7.21e-05,20.733432,20.734437,20.733432
3,25.010858,3.980602,3.888735,0.0918667263,0.0456245843,0.0456245843,0.0455817729,0.00e+00,4.28e-05,24.722250,24.723092,24.722250
4,30.424876,4.842269,4.750403,0.0918667263,0.0375837354,0.0375837354,0.0375599529,9.02e-17,2.38e-05,30.136268,30.136959,30.136268
5,32.935062,5.241778,5.149911,0.0918667263,0.0347445869,0.0347445869,0.0347258382,1.53e-16,1.87e-05,32.646454,32.647092,32.646454
6,40.918719,6.512416,6.420550,0.0918667263,0.0280138021,0.0280138021,0.0280040257,1.01e-16,9.78e-06,40.630111,40.630624,40.630111
7,43.327073,6.895718,6.803851,0.0918667263,0.0264670890,0.0264670890,0.0264588539,3.47e-17,8.24e-06,43.038465,43.038949,43.038465
8,48.005151,7.640257,7.548390,0.0918667263,0.0239034946,0.0239034946,0.0238974401,5.55e-17,6.05e-06,47.716543,47.716980,47.716543
9,49.773832,7.921751,7.829885,0.0918667263,0.0230590543,0.0230590543,0.0230536225,9.02e-17,5.43e-06,49.485224,49.485645,49.485224
10,52.970321,8.430488,8.338622,0.0918667263,0.0216751836,0.0216751836,0.0216706770,0.00e+00,4.51e-06,52.681713,52.682108,52.681713
11,56.446248,8.983699,8.891833,0.0918667263,0.0203473003,0.0203473003,0.0203435761,2.43e-17,3.72e-06,56.157640,56.158011,56.157640
12,59.347044,9.445375,9.353509,0.0918667263,0.0193576157,0.0193576157,0.0193544113,1.28e-16,3.20e-06,59.058436,59.058789,59.058436
13,60.831779,9.681678,9.589812,0.0918667263,0.0188874025,0.0188874025,0.0188844270,3.47e-17,2.98e-06,60.543171,60.543515,60.543171
14,65.112544,10.362983,10.271117,0.0918667263,0.0176511975,0.0176511975,0.0176487712,8.33e-17,2.43e-06,64.823936,64.824257,64.823936
15,67.079811,10.676084,10.584217,0.0918667263,0.0171357734,0.0171357734,0.0171335543,3.47e-18,2.22e-06,66.791203,66.791515,66.791203
16,69.546401,11.068653,10.976787,0.0918667263,0.0165305549,0.0165305549,0.0165285637,4.16e-17,1.99e-06,69.257793,69.258094,69.257793
17,72.067158,11.469844,11.377978,0.0918667263,0.0159546762,0.0159546762,0.0159528867,1.46e-16,1.79e-06,71.778550,71.778840,71.778550
18,75.704690,12.048776,11.956909,0.0918667263,0.0151910048,0.0151910048,0.0151894610,6.77e-17,1.54e-06,75.416082,75.416358,75.416082
19,77.144840,12.277983,12.186116,0.0918667263,0.0149084821,0.0149084821,0.0149070232,3.99e-17,1.46e-06,76.856232,76.856503,76.856232
20,79.337375,12.626935,12.535069,0.0918667263,0.0144979818,0.0144979818,0.0144966406,1.21e-16,1.34e-06,79.048767,79.049031,79.048767
